,gate_0,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,gate_9,gate_10,gate_11,gate_12,gate_13,gate_14,gate_15,gate_16,gate_17,gate_18,gate_19,gate_20,gate_21,gate_22,gate_23,gate_24,gate_25,gate_26,gate_27,gate_28,gate_29,gate_30,gate_31,gate_32,gate_33,gate_34,gate_35,gate_36,gate_37,gate_38,gate_39,gate_40,gate_41,gate_42,gate_43,gate_44,gate_45,gate_46,gate_47,gate_48,gate_49,gate_50,gate_51,gate_52,gate_53,gate_54,gate_55,gate_56,gate_57,gate_58,gate_59,gate_60,gate_61,gate_62,gate_63,gate_64,gate_65,gate_66,gate_67,gate_68,gate_69,gate_70,gate_71,gate_72,gate_73,gate_74,gate_75,gate_76,gate_77,gate_78,gate_79,gate_80,gate_81,gate_82,gate_83,gate_84,gate_85,gate_86,gate_87,gate_88,gate_89,gate_90,gate_91,gate_92,gate_93,gate_94,gate_95,gate_96,gate_97,gate_98,gate_99,gate_100,gate_101,gate_102,gate_103,gate_104,gate_105,gate_106,gate_107,gate_108,gate_109,gate_110,gate_111,gate_112,gate_113,gate_114,gate_115,gate_116,gate_117,gate_118,gate_119,gate_120,gate_121,gate_122,gate_123,gate_124,gate_125,gate_126,gate_127,gate_128,gate_129,gate_130,gate_131,gate_132,gate_133,gate_134,gate_135,gate_136,gate_137,gate_138,gate_139,gate_140,gate_141,gate_142,gate_143,gate_144,gate_145,gate_146,gate_147,gate_148,gate_149,gate_150,gate_151,gate_152,gate_153,gate_154,gate_155,gate_156,gate_157,gate_158,gate_159,gate_160,gate_161,gate_162,gate_163,gate_164,gate_165,gate_166,gate_167,gate_168,gate_169,gate_170,gate_171,gate_172,gate_173,gate_174,gate_175,gate_176,gate_177,gate_178,gate_179,gate_180,gate_181,gate_182,gate_183,gate_184,gate_185,gate_186,gate_187,gate_188,gate_189,gate_190,gate_191,gate_192,gate_193,gate_194,gate_195,gate_196,gate_197,gate_198,gate_199,gate_200,gate_201,gate_202,gate_203,gate_204,gate_205,gate_206,gate_207,gate_208,gate_209,gate_210,gate_211,gate_212,gate_213,gate_214,gate_215,gate_216,gate_217,gate_218,gate_219,gate_220,gate_221,gate_222,gate_223,gate_224,gate_225,gate_226,gate_227,gate_228,gate_229,gate_230,gate_231,gate_232,gate_233,gate_234,gate_235,gate_236,gate_237,gate_238,gate_239,gate_240,gate_241,gate_242,gate_243,gate_244,gate_245,gate_246,gate_247,gate_248,gate_249,gate_250,gate_251,gate_252,gate_253,gate_254,gate_255
auto_0,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
auto_1,552,552,552,552,895,895,1018,1351,552,552,552,552,895,895,557,1295,552,552,1205,1351,1018,1351,1204,1351,552,552,1205,1350,895,895,623,1351,552,552,552,552,895,557,1018,1351,552,552,552,552,895,557,557,1308,552,552,895,895,1018,1351,1321,1351,552,552,895,1322,895,562,977,1351,552,552,552,552,895,895,895,895,552,552,552,552,895,895,895,895,552,552,1205,1356,557,1313,625,1351,552,552,1205,557,895,895,895,1351,552,552,552,552,895,557,895,562,552,552,552,552,895,557,895,1295,552,552,895,1334,557,1323,969,1351,552,552,895,895,895,1312,1184,1351,552,552,552,552,895,895,1018,606,552,552,552,552,895,895,557,786,552,552,1205,1127,1018,607,895,895,552,552,1205,981,895,895,557,919,552,552,552,552,895,895,1018,918,552,552,552,552,895,772,557,769,552,552,895,895,1018,918,895,895,552,552,895,895,895,895,895,895,552,552,552,552,895,895,895,895,552,552,552,552,895,895,895,895,552,552,1205,981,557,786,557,919,552,552,1205,895,895,895,895,895,552,552,552,552,895,772,895,895,552,552,552,552,895,895,895,895,552,552,895,895,557,769,895,895,552,552,895,895,895,895,895,895
auto_2,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
auto_3,552,552,1080,1257,895,895,1080,1257,552,552,1080,1300,895,895,1080,1257,552,552,1300,1257,1080,1257,1299,1257,552,552,1300,1257,895,895,1095,1257,552,552,1080,1257,895,557,1080,1257,552,552,1080,1300,895,568,1080,1300,552,552,895,895,1080,1257,1261,1257,552,552,895,1257,895,562,1005,1257,552,552,1080,557,895,895,895,895,552,552,1080,557,895,895,895,895,552,552,1300,1264,557,1203,1175,1257,552,552,1300,557,895,895,895,1257,552,552,1080,1219,895,557,895,562,552,552,1080,1249,895,557,895,1290,552,552,895,1219,557,1287,895,1257,552,552,895,895,895,1245,1088,1257,552,552,1080,580,895,895,1080,620,552,552,1080,992,895,895,1080,944,552,552,1300,1251,1080,1163,895,895,552,552,1300,919,895,895,895,919,552,552,1080,992,895,895,1080,774,552,552,1080,992,895,776,1080,931,552,552,895,895,1080,918,895,895,552,552,895,895,895,895,895,895,552,552,1080,762,895,895,895,895,552,552,1080,895,895,895,895,895,552,552,1300,968,557,895,557,895,552,552,1300,895,895,895,895,895,552,552,1080,895,895,765,895,895,552,552,1080,895,895,895,895,895,552,552,895,895,557,895,895,895,552,552,895,895,895,895,895,895
auto_4,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459
auto_5,549,944,864,1018,894,894,1164,549,549,4717,864,4539,894,976,895,1092,875,1079,3485,549,1125,549,3381,549,875,2953,3485,3074,970,907,6331,598,549,944,864,1018,894,1068,1164,1017,549,4922,864,4539,894,6425,895,4528,875,1079,852,894,1125,1018,6303,549,875,2697,852,1271,2133,1260,3735,598,549,5009,864,3110,894,919,952,919,549,7109,864,6954,894,775,952,990,875,5770,3485,3071,918,998,6388,586,875,7262,3485,1136,970,926,852,635,549,4925,864,2329,894,6766,2112,1271,549,6368,864,4604,894,6222,3461,4717,875,5770,852,1191,918,5769,3403,586,875,4593,852,1012,3503,4502,4051,635,549,6266,864,7381,894,1450,1164,5122,549,6535,864,4880,894,913,895,4468,875,8154,3485,7068,1125,5363,4480,5173,875,3505,3485,4509,970,942,5489,4329,549,6266,864,4907,894,5180,1164,4758,549,4018,864,4880,894,3750,895,4294,875,5749,852,1044,1125,4403,989,587,875,468,852,461,970,461,852,461,549,6723,864,3453,894,1005,952,940,549,857,864,466,894,461,952,461,875,5713,3485,4515,918,5445,5505,4293,875,466,3485,461,970,461,852,461,549,4374,864,468,894,4355,952,461,549,466,864,466,894,461,952,461,875,5713,852,461,918,5240,852,461,875,466,852,461,970,461,852,461
auto_6,735,737,735,734,459,459,463,734,735,555,735,548,459,459,735,548,735,823,506,734,735,734,506,734,735,603,506,693,459,459,477,734,735,737,735,734,459,734,463,734,735,748,735,548,459,463,735,548,735,823,459,459,735,734,703,734,735,653,459,597,459,732,459,734,735,738,735,734,459,459,459,459,735,474,735,580,459,459,459,459,735,734,506,734,735,734,465,734,735,546,506,463,459,459,459,734,735,734,735,459,459,474,459,730,735,487,735,540,459,463,459,540,735,734,459,732,735,734,466,734,735,718,459,459,459,728,463,734,735,670,735,612,459,459,463,608,735,735,735,823,459,459,735,823,735,763,506,663,735,465,459,459,735,467,506,466,459,459,459,459,735,670,735,794,459,459,463,463,735,735,735,823,459,1700,735,762,735,646,459,459,735,459,459,459,735,461,459,459,459,459,459,459,735,463,735,463,459,459,459,459,735,463,735,459,459,459,459,459,735,646,506,463,735,579,463,463,735,461,506,459,459,459,459,459,735,474,735,459,459,463,459,459,735,461,735,459,459,459,459,459,735,646,459,459,735,573,459,459,735,461,459,459,459,459,459,459
auto_7,549,944,864,1018,894,894,1209,549,549,4742,864,4539,894,976,895,1092,818,1020,3485,549,1172,549,3381,549,818,2952,3485,3074,970,907,6331,598,549,944,864,1018,894,1006,1209,1017,549,3989,864,4539,894,6425,895,4528,818,1020,852,894,1172,1018,6303,549,818,2462,852,1271,2133,1260,3735,598,549,4478,864,3110,894,919,952,919,549,7220,864,6954,894,775,952,990,818,4923,3485,3071,843,998,6388,586,818,6829,3485,1136,970,926,852,635,549,4629,864,2329,894,6656,2112,1271,549,6155,864,4604,894,6222,3461,4717,818,4923,852,1191,843,4923,3403,586,818,4579,852,1012,3503,4502,4051,635,549,6434,864,7381,894,1543,1209,5122,549,6651,864,4880,894,913,895,4468,818,6664,3485,7068,1172,5144,4480,5173,818,3480,3485,4509,970,942,5489,4329,549,6434,864,4907,894,5971,1209,4758,549,4171,864,4880,894,3750,895,4294,818,4525,852,1044,1172,4366,989,587,818,468,852,461,970,461,852,461,549,6452,864,3453,894,943,952,940,549,857,864,466,894,461,952,461,818,4498,3485,4515,843,4498,5505,4293,818,466,3485,461,970,461,852,461,549,4224,864,468,894,4155,952,461,549,466,864,466,894,461,952,461,818,4498,852,461,843,4312,852,461,818,466,852,461,970,461,852,461
auto_8,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
auto_9,4694,2925,6854,4684,6325,895,6775,4764,4694,6385,6854,6299,6325,895,6751,4192,4602,934,7277,4764,4698,4764,7250,4764,4602,5461,7277,4535,7828,895,7541,4764,4694,2925,6854,4684,6325,2955,6775,4742,4694,6480,6854,6299,6325,7453,6751,6313,4602,934,6297,895,4698,4742,7798,4764,4602,2284,6297,3748,6774,941,6011,4764,4694,7005,6854,2598,6325,895,5385,895,4694,7987,6854,7772,6325,895,5385,895,4602,7348,7277,4512,4678,3890,7564,4764,4602,7820,7277,863,7828,895,6297,4764,4694,7563,6854,3064,6325,7521,6900,4516,4694,8007,6854,1335,6325,8006,7143,6060,4602,7348,6297,3913,4678,7429,8285,4764,4602,1918,6297,895,6964,5988,7375,4764,4694,7653,6854,8355,6325,8655,6775,6213,4694,7113,6854,7686,6325,7248,6751,6894,4602,7303,7277,6522,4698,6491,7286,895,4602,2827,7277,987,7828,895,8148,925,4694,7653,6854,7911,6325,7327,6775,5231,4694,7006,6854,7686,6325,5142,6751,4859,4602,6554,6297,1271,4698,5058,6366,1088,4602,595,6297,895,7828,895,6297,895,4694,7028,6854,2784,6325,6383,5385,895,4694,863,6854,552,6325,895,5385,895,4602,7411,7277,987,4678,6624,8187,907,4602,552,7277,895,7828,895,6297,895,4694,7323,6854,637,6325,5173,5385,895,4694,552,6854,552,6325,895,5385,895,4602,7411,6297,895,4678,4911,6297,895,4602,552,6297,895,7828,895,6297,895
